Ticker,Company_Name,Sector,Market_Cap_Category,Shares_Held,Avg_Cost_Basis,Current_Price,Market_Value,Unrealized_GL,Unrealized_GL_Pct,Beta,Dividend_Yield_Pct,PE_Ratio,YTD_Return_Pct,52W_High,52W_Low,Analyst_Rating,ESG_Score,Date_Acquired,Portfolio_Weight_Pct
MSFT,Microsoft Corp,Technology,Mega Cap,5172,290.76,415.26,2147724.72,643939.15,42.82,0.89,0.89,40.1,26.32,543.2,345.13,Hold,53,2023-10-17,11.86
JPM,JPMorgan Chase,Financial Services,Large Cap,3129,186.5,198.43,620887.47,37340.55,6.4,1.12,2.01,27.8,63.48,242.57,149.31,Buy,75,2022-01-24,3.43
JNJ,Johnson & Johnson,Healthcare,Large Cap,5477,144.29,158.92,870404.84,80118.55,10.14,0.54,2.57,39.3,10.44,176.69,144.62,Buy,49,2021-06-10,4.81
XOM,Exxon Mobil,Energy,Large Cap,2247,106.4,112.34,252427.98,13340.01,5.58,0.87,0.25,25.3,40.28,142.6,92.61,Buy,42,2022-09-22,1.39
AMZN,Amazon.com Inc,Technology,Mega Cap,2993,152.3,186.52,558254.36,102431.78,22.47,1.24,1.48,35.3,58.33,210.32,161.03,Underperform,77,2021-02-05,3.08
GS,Goldman Sachs,Financial Services,Large Cap,1264,334.18,487.21,615833.44,193435.85,45.79,1.38,1.2,15.8,10.03,521.81,348.63,Underperform,66,2022-10-16,3.4
UNH,UnitedHealth Group,Healthcare,Large Cap,6969,395.24,521.83,3636633.27,882180.49,32.03,0.72,2.05,38.3,12.64,534.66,424.56,Hold,65,2021-11-28,20.08
CVX,Chevron Corp,Energy,Large Cap,2497,101.22,154.67,386210.99,133455.95,52.8,0.92,2.06,27.8,13.23,202.79,137.46,Buy,73,2023-10-16,2.13
GOOGL,Alphabet Inc,Technology,Mega Cap,774,143.49,167.38,129552.12,18493.6,16.65,1.06,3.37,42.8,10.54,183.77,162.68,Hold,58,2022-10-25,0.72
BAC,Bank of America,Financial Services,Large Cap,4447,28.98,37.82,168185.54,39297.21,30.49,1.28,2.88,23.8,64.56,40.04,36.9,Underperform,62,2023-05-20,0.93
PFE,Pfizer Inc,Healthcare,Large Cap,1912,24.71,28.14,53803.68,6553.39,13.87,0.61,3.67,39.8,22.72,36.11,27.14,Buy,79,2023-09-02,0.3
NEE,NextEra Energy,Utilities,Large Cap,7465,53.69,61.43,458574.95,57760.91,14.41,0.48,3.41,14.4,26.45,78.57,57.64,Strong Buy,78,2021-04-28,2.53
NVDA,NVIDIA Corp,Technology,Mega Cap,2045,621.27,875.38,1790152.1,519648.46,40.9,1.68,2.31,16.0,42.39,878.76,698.4,Hold,85,2022-01-28,9.88
MS,Morgan Stanley,Financial Services,Large Cap,1775,75.58,97.65,173328.75,39168.05,29.19,1.34,3.48,39.2,-0.95,99.01,64.16,Buy,77,2021-11-04,0.96
ABT,Abbott Laboratories,Healthcare,Large Cap,3240,86.85,114.29,370299.6,88890.8,31.59,0.63,3.04,37.0,57.37,153.01,103.61,Strong Buy,42,2022-05-20,2.04
LIN,Linde PLC,Materials,Large Cap,3194,323.28,432.17,1380350.98,347786.31,33.68,0.74,0.49,24.3,15.13,507.15,347.01,Buy,47,2023-04-27,7.62
META,Meta Platforms,Technology,Mega Cap,1550,383.65,527.34,817377.0,222726.02,37.45,1.19,0.66,30.4,-1.02,616.16,425.94,Buy,82,2023-04-01,4.51
BLK,BlackRock Inc,Financial Services,Large Cap,691,533.91,812.56,561478.96,192546.16,52.19,1.22,0.57,19.8,46.89,880.09,697.87,Strong Buy,73,2022-10-13,3.1
TMO,Thermo Fisher Scientific,Healthcare,Large Cap,5190,416.84,567.43,2944961.7,781552.89,36.13,0.78,2.75,21.0,-8.62,599.1,557.58,Buy,47,2021-04-21,16.26
SLB,Schlumberger NV,Energy,Large Cap,3640,35.84,47.82,174064.8,43618.49,33.44,1.14,3.08,15.3,7.0,61.12,39.47,Hold,81,2021-10-16,0.96
